2015-03-09 17:20:39,057 [10] INFO TransactionServerTest.Program - Started
2015-03-09 17:27:21,734 [12] INFO Protocal.Communication.ProxyBase`1[[Protocal.IGatewayService, Protocal, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] - Discovery gateway service
2015-03-09 17:27:34,074 [12] INFO Protocal.Communication.ProxyBase`1[[Protocal.IGatewayService, Protocal, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] - Discovery gateway service
2015-03-09 17:27:46,368 [12] INFO Protocal.Communication.ProxyBase`1[[Protocal.IGatewayService, Protocal, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] - Discovery gateway service
2015-03-09 17:27:58,574 [12] INFO Protocal.Communication.ProxyBase`1[[Protocal.IGatewayService, Protocal, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] - Discovery gateway service
2015-03-09 17:28:10,775 [12] INFO Protocal.Communication.ProxyBase`1[[Protocal.IGatewayService, Protocal, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] - Discovery gateway service
2015-03-09 17:28:23,212 [12] INFO Protocal.Communication.ProxyBase`1[[Protocal.IGatewayService, Protocal, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] - Discovery gateway service
2015-03-09 17:28:35,740 [12] INFO Protocal.Communication.ProxyBase`1[[Protocal.IGatewayService, Protocal, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] - Discovery gateway service
2015-03-09 17:28:48,272 [12] INFO Protocal.Communication.ProxyBase`1[[Protocal.IGatewayService, Protocal, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] - Discovery gateway service
2015-03-09 17:29:00,612 [12] INFO Protocal.Communication.ProxyBase`1[[Protocal.IGatewayService, Protocal, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] - Discovery gateway service
2015-03-09 17:29:12,862 [12] INFO Protocal.Communication.ProxyBase`1[[Protocal.IGatewayService, Protocal, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] - Discovery gateway service
2015-03-09 17:29:25,217 [12] INFO Protocal.Communication.ProxyBase`1[[Protocal.IGatewayService, Protocal, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] - Discovery gateway service
2015-03-09 17:29:37,515 [12] INFO Protocal.Communication.ProxyBase`1[[Protocal.IGatewayService, Protocal, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] - Discovery gateway service
2015-03-09 17:29:50,292 [12] INFO Protocal.Communication.ProxyBase`1[[Protocal.IGatewayService, Protocal, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] - Discovery gateway service
2015-03-09 17:30:02,626 [12] INFO Protocal.Communication.ProxyBase`1[[Protocal.IGatewayService, Protocal, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] - Discovery gateway service
2015-03-09 17:30:15,091 [12] INFO Protocal.Communication.ProxyBase`1[[Protocal.IGatewayService, Protocal, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] - Discovery gateway service
2015-03-09 17:30:27,573 [12] INFO Protocal.Communication.ProxyBase`1[[Protocal.IGatewayService, Protocal, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] - Discovery gateway service
2015-03-09 17:30:39,804 [12] INFO Protocal.Communication.ProxyBase`1[[Protocal.IGatewayService, Protocal, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] - Discovery gateway service
2015-03-09 17:30:52,459 [12] INFO Protocal.Communication.ProxyBase`1[[Protocal.IGatewayService, Protocal, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] - Discovery gateway service
2015-03-09 17:31:05,237 [12] INFO Protocal.Communication.ProxyBase`1[[Protocal.IGatewayService, Protocal, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] - Discovery gateway service
2015-03-09 17:31:17,989 [12] INFO Protocal.Communication.ProxyBase`1[[Protocal.IGatewayService, Protocal, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] - Discovery gateway service
2015-03-09 17:31:30,659 [12] INFO Protocal.Communication.ProxyBase`1[[Protocal.IGatewayService, Protocal, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] - Discovery gateway service
2015-03-09 17:31:43,108 [12] INFO Protocal.Communication.ProxyBase`1[[Protocal.IGatewayService, Protocal, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] - Discovery gateway service
2015-03-09 17:31:55,824 [12] INFO Protocal.Communication.ProxyBase`1[[Protocal.IGatewayService, Protocal, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] - Discovery gateway service
2015-03-09 17:32:08,248 [12] INFO Protocal.Communication.ProxyBase`1[[Protocal.IGatewayService, Protocal, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] - Discovery gateway service
2015-03-09 17:32:20,463 [12] INFO Protocal.Communication.ProxyBase`1[[Protocal.IGatewayService, Protocal, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] - Discovery gateway service
2015-03-10 09:02:03,491 [10] INFO TransactionServerTest.Program - Started
2015-03-10 09:11:21,947 [10] INFO TransactionServerTest.Program - Started
2015-03-10 09:20:06,028 [10] INFO TransactionServerTest.Program - Started
2015-03-10 09:20:54,492 [9] INFO TransactionServerTest.Program - Started
2015-03-10 09:20:56,488 [11] INFO Protocal.Communication.ProxyBase`1[[Protocal.IGatewayService, Protocal, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] - Discovery gateway service
2015-03-10 09:21:54,741 [10] INFO TransactionServerTest.Program - Started
2015-03-10 09:59:37,650 [10] INFO TransactionServerTest.Program - Started
