Come from Fsharp
2014-02-21 10:08:47 200 accounts make orders to StateServer, cost time: max=168.5214, min=21.0026, average=46.985972
2014-02-21 10:09:27 200 accounts make orders to StateServer, cost time: max=218.0277, min=20.0025, average=53.3367685
2014-02-21 10:10:07 200 accounts make orders to StateServer, cost time: max=225.0286, min=19.5025, average=43.7955585
2014-02-21 10:13:38 200 accounts make orders to TraderServer, cost time: max=275.535, min=15.0019, average=48.9162175
2014-02-21 10:14:18 200 accounts make orders to TraderServer, cost time: max=205.5261, min=14.0017, average=45.5607875
2014-02-21 10:14:58 200 accounts make orders to TraderServer, cost time: max=232.0295, min=14.0018, average=36.6346525
2014-02-21 10:15:38 200 accounts make orders to TraderServer, cost time: max=152.5194, min=14.0018, average=37.7322925
2014-02-21 10:16:18 200 accounts make orders to TraderServer, cost time: max=440.0559, min=14.5018, average=41.925325
2014-02-21 10:16:58 200 accounts make orders to TraderServer, cost time: max=271.5345, min=15.5019, average=54.0818715
2014-02-21 10:17:38 200 accounts make orders to TraderServer, cost time: max=228.529, min=16.5021, average=59.6375755
2014-02-21 10:18:18 200 accounts make orders to TraderServer, cost time: max=301.5383, min=15.5019, average=42.570405
2014-02-21 10:18:58 200 accounts make orders to TraderServer, cost time: max=1393.677, min=15.5019, average=160.762914
2014-02-21 10:19:38 200 accounts make orders to TraderServer, cost time: max=882.612, min=16.5021, average=155.937301
2014-02-21 10:20:18 200 accounts make orders to TraderServer, cost time: max=575.073, min=13.0017, average=88.5187475
2014-02-21 10:20:58 200 accounts make orders to TraderServer, cost time: max=179.5228, min=14.5019, average=47.268495
2014-02-21 10:21:38 200 accounts make orders to TraderServer, cost time: max=157.0199, min=17.0021, average=47.526038
2014-02-21 10:22:18 200 accounts make orders to TraderServer, cost time: max=256.0325, min=6.0007, average=62.257906
2014-02-21 10:22:58 200 accounts make orders to TraderServer, cost time: max=637.0809, min=15.0019, average=80.160177
2014-02-21 10:23:38 200 accounts make orders to TraderServer, cost time: max=273.0347, min=13.5017, average=66.7384745
2014-02-21 10:24:18 200 accounts make orders to TraderServer, cost time: max=201.0255, min=14.5019, average=43.5380285
2014-02-21 10:24:58 200 accounts make orders to TraderServer, cost time: max=127.5162, min=15.0019, average=45.485776
2014-02-21 10:25:38 200 accounts make orders to TraderServer, cost time: max=144.0183, min=15.0019, average=43.3955085
2014-02-21 10:26:18 200 accounts make orders to TraderServer, cost time: max=171.0217, min=13.5017, average=42.950451
2014-02-21 10:26:58 200 accounts make orders to TraderServer, cost time: max=153.5195, min=15.502, average=36.0170735
2014-02-21 10:27:38 200 accounts make orders to TraderServer, cost time: max=456.0579, min=15.0019, average=50.3688965
2014-02-21 10:28:18 200 accounts make orders to TraderServer, cost time: max=215.5274, min=16.002, average=41.575276
2014-02-21 10:28:58 200 accounts make orders to TraderServer, cost time: max=154.5196, min=14.5019, average=47.7285605
2014-02-21 10:29:38 200 accounts make orders to TraderServer, cost time: max=232.0295, min=15.502, average=43.9305805
2014-02-21 10:30:18 200 accounts make orders to TraderServer, cost time: max=183.5233, min=16.002, average=42.900442
2014-02-21 10:30:58 200 accounts make orders to TraderServer, cost time: max=111.5142, min=17.0021, average=37.1897235
2014-02-21 10:31:38 200 accounts make orders to TraderServer, cost time: max=391.5498, min=15.0019, average=50.3363935
2014-02-21 10:32:18 200 accounts make orders to TraderServer, cost time: max=549.5698, min=14.0017, average=95.907184
2014-02-21 10:32:58 200 accounts make orders to TraderServer, cost time: max=220.0279, min=13.0017, average=53.4817915
2014-02-21 10:33:38 200 accounts make orders to TraderServer, cost time: max=209.0266, min=16.002, average=49.893837
2014-02-21 10:34:18 200 accounts make orders to TraderServer, cost time: max=126.016, min=14.5018, average=36.732159
2014-02-21 10:34:58 200 accounts make orders to TraderServer, cost time: max=318.5404, min=15.0019, average=40.1375955
2014-02-21 10:35:38 200 accounts make orders to TraderServer, cost time: max=169.5215, min=15.0019, average=39.2899925
2014-02-21 10:36:18 200 accounts make orders to TraderServer, cost time: max=648.5824, min=15.0019, average=55.2595165
2014-02-21 10:36:58 200 accounts make orders to TraderServer, cost time: max=179.0227, min=17.0021, average=44.7956885
2014-02-21 10:37:38 200 accounts make orders to TraderServer, cost time: max=123.0156, min=14.5018, average=37.9448205
2014-02-21 10:38:18 200 accounts make orders to TraderServer, cost time: max=283.536, min=13.5017, average=38.4823865
2014-02-21 10:38:58 200 accounts make orders to TraderServer, cost time: max=130.0165, min=14.0018, average=39.2299855
2014-02-21 10:39:38 200 accounts make orders to TraderServer, cost time: max=94.512, min=14.0018, average=36.3871205
2014-02-21 10:40:18 200 accounts make orders to TraderServer, cost time: max=292.5371, min=16.002, average=42.252868
2014-02-21 10:40:58 200 accounts make orders to TraderServer, cost time: max=148.0188, min=14.5018, average=41.175232
2014-02-21 10:41:38 200 accounts make orders to TraderServer, cost time: max=151.0192, min=15.0019, average=39.8800635
2014-02-21 10:42:18 200 accounts make orders to TraderServer, cost time: max=106.0134, min=14.5018, average=34.8644225
2014-02-21 10:42:58 200 accounts make orders to TraderServer, cost time: max=643.0817, min=14.5018, average=60.690204
2014-02-21 10:43:38 200 accounts make orders to TraderServer, cost time: max=297.5378, min=14.0018, average=51.3115195
2014-02-21 10:44:18 200 accounts make orders to TraderServer, cost time: max=353.0448, min=13.5017, average=51.584054
2014-02-21 10:44:58 200 accounts make orders to TraderServer, cost time: max=116.5148, min=14.5018, average=35.58452
2014-02-21 10:45:38 200 accounts make orders to TraderServer, cost time: max=236.53, min=14.5018, average=37.1272135
2014-02-21 10:46:18 200 accounts make orders to TraderServer, cost time: max=178.0226, min=14.5018, average=39.9400735
2014-02-21 10:46:58 200 accounts make orders to TraderServer, cost time: max=234.5298, min=14.5019, average=49.53629
2014-02-21 10:47:38 200 accounts make orders to TraderServer, cost time: max=224.0285, min=12.5016, average=45.775811
2014-02-21 10:48:18 200 accounts make orders to TraderServer, cost time: max=261.0331, min=14.0018, average=42.192858
2014-02-21 10:48:58 200 accounts make orders to TraderServer, cost time: max=250.0318, min=14.5018, average=51.3365145
2014-02-21 10:49:38 200 accounts make orders to TraderServer, cost time: max=156.0199, min=14.5018, average=38.5399005
2014-02-21 10:50:18 200 accounts make orders to TraderServer, cost time: max=247.5314, min=14.5018, average=47.0959785
2014-02-21 10:50:58 200 accounts make orders to TraderServer, cost time: max=207.0263, min=13.5017, average=38.749921
2014-02-21 10:51:38 200 accounts make orders to TraderServer, cost time: max=372.5473, min=14.5018, average=49.703808
2014-02-21 10:52:18 200 accounts make orders to TraderServer, cost time: max=220.028, min=13.0016, average=41.1152145
2014-02-21 10:52:58 200 accounts make orders to TraderServer, cost time: max=215.5273, min=15.502, average=42.940456
2014-02-21 10:53:38 200 accounts make orders to TraderServer, cost time: max=161.0204, min=13.5017, average=40.6626665
2014-02-21 10:54:18 200 accounts make orders to TraderServer, cost time: max=191.0243, min=13.0016, average=39.8850695
